Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-21.79,42.9,-12.16,-80.35,11.26,-29.29,-2.08
BUY,TWAP Notional vs TWAP,-26.44,56.05,-13.91,-94.04,9.67,-31.88,-3.23
BUY,VWAP Volume vs VWAP,-23.8,113.85,-10.29,-147.35,62.43,-36.39,7.27
BUY,VWAP Notional vs VWAP,-28.64,120.4,-11.6,-159.73,57.19,-39.08,5.76
SELL,TWAP Volume vs TWAP,21.15,35.71,12.87,-11.01,79.82,2.55,29.75
SELL,TWAP Notional vs TWAP,15.87,29.62,10.45,-13.67,65.27,1.01,25.57
SELL,VWAP Volume vs VWAP,21.23,102.39,9.54,-71.41,154.18,-9.15,37.44
SELL,VWAP Notional vs VWAP,16.16,103.58,8.07,-79.44,144.73,-10.88,34.67
