Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-5.1,10.23,-2.73,-20.46,3.08,-6.82,-0.36
BUY,TWAP Notional vs TWAP,-5.38,11.09,-2.8,-21.08,2.84,-6.93,-0.46
BUY,VWAP Volume vs VWAP,-4.38,29.67,-1.56,-36.09,20.14,-8.21,3.11
BUY,VWAP Notional vs VWAP,-4.66,30.02,-1.63,-36.68,19.83,-8.35,3.0
SELL,TWAP Volume vs TWAP,5.0,10.11,2.7,-3.15,20.42,0.32,6.79
SELL,TWAP Notional vs TWAP,4.63,9.39,2.56,-3.29,19.3,0.23,6.52
SELL,VWAP Volume vs VWAP,6.51,31.79,2.62,-18.02,42.23,-2.11,10.6
SELL,VWAP Notional vs VWAP,6.17,31.64,2.53,-18.4,41.12,-2.15,10.41
