Order Type,Min Period,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
TWAP Notional,All,-7.04,109.62,-1.94,-124.01,97.34,-23.17,16.86
TWAP Volume,All,-1.15,103.97,-0.75,-111.59,106.71,-20.74,19.02
BUY,0,-35.52,130.46,-14.68,-183.08,57.83,-46.54,3.66
BUY,1,-35.52,130.46,-14.68,-183.08,57.83,-46.54,3.66
BUY,2,-35.52,130.46,-14.68,-183.08,57.83,-46.54,3.66
BUY,3,-35.52,130.46,-14.68,-183.08,57.83,-46.54,3.66
BUY,4,-35.48,130.5,-14.69,-183.05,58.05,-46.53,3.69
BUY,5,-35.3,130.31,-14.67,-182.79,58.35,-46.46,3.72
BUY,6,-35.28,130.26,-14.71,-183.19,58.78,-46.43,3.69
BUY,7,-34.53,130.03,-14.57,-180.17,58.45,-45.47,3.9
BUY,8,-30.44,125.18,-12.36,-170.93,61.56,-41.26,4.83
BUY,9,-23.8,113.85,-10.29,-147.35,62.43,-36.39,7.27
BUY,10,-16.23,100.05,-7.81,-128.66,71.02,-33.43,11.69
BUY,11,-10.31,92.45,-5.13,-128.74,90.55,-38.3,22.38
BUY,12,-0.61,82.33,-1.2,-94.88,92.94,-21.34,18.27
SELL,0,33.6,116.11,14.74,-65.09,193.33,-5.68,49.4
SELL,1,33.6,116.11,14.74,-65.09,193.33,-5.68,49.4
SELL,2,33.6,116.11,14.74,-65.09,193.33,-5.68,49.4
SELL,3,33.6,116.11,14.74,-65.09,193.33,-5.68,49.4
SELL,4,33.61,116.16,14.74,-65.09,193.78,-5.68,49.42
SELL,5,33.68,116.09,14.77,-65.18,193.85,-5.61,49.42
SELL,6,33.75,116.4,14.68,-65.06,194.47,-5.72,49.62
SELL,7,32.5,114.98,14.34,-66.33,191.65,-6.04,48.82
SELL,8,27.96,113.01,12.08,-70.04,180.29,-7.65,44.08
SELL,9,21.23,102.39,9.54,-71.41,154.18,-9.15,37.44
SELL,10,13.88,90.83,6.24,-77.06,130.81,-12.87,31.46
SELL,11,9.06,87.43,2.44,-93.2,132.6,-22.33,33.04
SELL,12,-0.57,82.19,-1.22,-94.7,93.01,-21.21,18.23
