Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-9.41,63.3,-3.25,-108.44,68.91,-33.21,20.91
BUY,TWAP Notional vs TWAP,-15.08,70.17,-5.88,-126.59,68.41,-38.3,19.52
BUY,VWAP Volume vs VWAP,-10.31,92.45,-5.13,-128.74,90.55,-38.3,22.38
BUY,VWAP Notional vs VWAP,-16.18,100.16,-7.95,-141.63,83.83,-41.17,19.4
SELL,TWAP Volume vs TWAP,10.43,73.08,2.3,-68.93,108.2,-18.15,29.39
SELL,TWAP Notional vs TWAP,4.92,71.48,-0.12,-81.32,104.25,-22.02,27.63
SELL,VWAP Volume vs VWAP,9.06,87.43,2.44,-93.2,132.6,-22.33,33.04
SELL,VWAP Notional vs VWAP,3.54,89.62,-0.53,-101.75,121.85,-24.94,29.52
