Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,0.0,0.25,0.0,-0.3,0.29,-0.07,0.07
BUY,TWAP Notional vs TWAP,-0.25,1.33,-0.06,-1.18,0.29,-0.25,0.06
BUY,VWAP Volume vs VWAP,1.13,23.97,0.56,-22.33,25.99,-4.63,6.14
BUY,VWAP Notional vs VWAP,0.81,24.08,0.49,-22.85,25.54,-4.75,5.97
SELL,TWAP Volume vs TWAP,0.0,0.25,0.01,-0.3,0.29,-0.07,0.07
SELL,TWAP Notional vs TWAP,-0.25,1.32,-0.06,-1.15,0.28,-0.25,0.06
SELL,VWAP Volume vs VWAP,1.12,23.95,0.56,-22.37,25.99,-4.63,6.15
SELL,VWAP Notional vs VWAP,0.81,24.03,0.49,-22.91,25.54,-4.75,5.98
