Order Type,Min Period,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
TWAP Notional,All,-1.06,65.07,0.16,-72.06,63.24,-12.34,12.24
TWAP Volume,All,1.05,64.01,0.56,-67.78,66.61,-11.48,13.08
BUY,0,-18.57,76.72,-6.93,-112.03,39.98,-26.71,3.77
BUY,1,-18.57,76.72,-6.93,-112.03,39.98,-26.71,3.77
BUY,2,-18.57,76.72,-6.93,-112.03,39.98,-26.71,3.77
BUY,3,-18.57,76.72,-6.93,-112.03,39.98,-26.71,3.77
BUY,4,-18.56,76.71,-6.92,-112.02,40.01,-26.71,3.78
BUY,5,-18.54,76.65,-6.95,-111.83,40.1,-26.68,3.77
BUY,6,-18.54,76.77,-6.9,-112.13,40.17,-26.74,3.79
BUY,7,-18.18,76.23,-6.83,-110.75,40.6,-26.53,3.9
BUY,8,-16.04,73.25,-5.79,-103.78,40.9,-24.2,4.56
BUY,9,-12.32,67.82,-4.67,-92.12,43.52,-21.19,5.92
BUY,10,-8.11,60.88,-3.41,-77.93,46.65,-18.51,7.72
BUY,11,-4.65,56.16,-2.1,-73.6,55.15,-20.33,13.29
BUY,12,0.9,50.48,0.3,-56.59,56.73,-11.88,12.48
SELL,0,20.43,73.93,8.53,-40.43,115.36,-3.53,30.54
SELL,1,20.43,73.93,8.53,-40.43,115.36,-3.53,30.54
SELL,2,20.43,73.93,8.53,-40.43,115.36,-3.53,30.54
SELL,3,20.43,73.93,8.53,-40.43,115.36,-3.53,30.54
SELL,4,20.42,73.92,8.53,-40.4,115.35,-3.52,30.54
SELL,5,20.42,73.93,8.54,-40.52,115.36,-3.53,30.5
SELL,6,20.42,74.06,8.5,-40.65,115.58,-3.57,30.58
SELL,7,19.87,73.47,8.35,-41.33,113.79,-3.65,30.1
SELL,8,17.77,71.6,7.22,-43.8,108.33,-4.46,27.72
SELL,9,14.14,66.44,5.92,-45.68,94.99,-5.12,23.98
SELL,10,10.02,59.25,4.14,-47.53,80.99,-6.82,19.92
SELL,11,7.08,55.43,2.43,-53.92,78.57,-11.31,19.74
SELL,12,0.9,50.42,0.3,-56.53,56.92,-11.91,12.51
