Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-33.33,65.44,-17.96,-118.48,11.39,-40.73,-5.02
BUY,TWAP Notional vs TWAP,-37.44,74.23,-19.52,-132.16,10.21,-44.29,-5.73
BUY,VWAP Volume vs VWAP,-35.28,130.26,-14.71,-183.19,58.78,-46.43,3.69
BUY,VWAP Notional vs VWAP,-38.75,137.45,-15.62,-194.12,57.2,-48.75,3.24
SELL,TWAP Volume vs TWAP,33.24,49.23,19.36,-8.95,119.61,5.14,45.23
SELL,TWAP Notional vs TWAP,29.09,44.36,17.09,-10.69,108.06,3.91,41.02
SELL,VWAP Volume vs VWAP,33.75,116.4,14.68,-65.06,194.47,-5.72,49.62
SELL,VWAP Notional vs VWAP,29.19,114.73,13.24,-72.1,184.58,-7.0,46.67
