Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-37.42,59.53,-19.15,-147.8,19.17,-61.46,-0.51
BUY,TWAP Notional vs TWAP,-37.9,59.06,-22.15,-145.08,23.2,-61.61,-1.19
BUY,VWAP Volume vs VWAP,-29.28,90.08,-16.04,-162.63,66.77,-56.78,6.9
BUY,VWAP Notional vs VWAP,-30.78,90.75,-16.94,-167.95,66.97,-56.69,6.23
SELL,TWAP Volume vs TWAP,30.33,47.5,21.22,-16.39,109.26,6.23,43.87
SELL,TWAP Notional vs TWAP,24.07,41.95,19.17,-24.45,91.84,5.06,38.99
SELL,VWAP Volume vs VWAP,35.95,86.47,23.4,-40.87,153.52,3.63,53.45
SELL,VWAP Notional vs VWAP,30.48,75.55,21.85,-46.7,137.79,2.85,48.89
