Order Type,Strategy,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
BUY,TWAP Volume vs TWAP,-4.75,69.65,-8.92,-103.64,104.44,-39.3,26.03
BUY,TWAP Notional vs TWAP,-0.05,123.71,1.84,-168.24,166.38,-46.6,53.67
BUY,VWAP Volume vs VWAP,2.91,118.31,-4.6,-135.34,163.38,-40.26,35.53
BUY,VWAP Notional vs VWAP,4.9,88.58,5.12,-122.07,134.03,-38.25,51.48
SELL,TWAP Volume vs TWAP,-0.91,45.48,3.18,-75.55,59.86,-18.36,20.54
SELL,TWAP Notional vs TWAP,4.94,160.23,22.02,-242.56,212.9,-58.63,83.51
SELL,VWAP Volume vs VWAP,6.58,88.71,7.18,-101.5,112.99,-18.52,31.87
SELL,VWAP Notional vs VWAP,9.75,120.21,20.68,-182.05,174.48,-47.97,77.45
